날짜,학년,성별,조,경기,승팀,점수(승팀),점수(패팀),패팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 20일,1,남,A조,11반 vs 7반,11,21,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 20일,1,남,B조,12반 vs 5반,5,21,19,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 20일,1,남,C조,6반 vs 1반,6,21,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 20일,3,남,A조,2반 vs 3반,3,21,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 20일,3,남,B조,1반 vs 5반,1,21,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 20일,2,남,A조,12반 vs 1반,1,21,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 20일,2,남,B조,10반 vs 11반,10,21,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 20일,2,남,C조,2반 vs 4반,2,21,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 21일,1,여,A조,8반 vs 5반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 21일,1,여,B조,11반 vs 6반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 21일,1,여,C조,7반 vs 3반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 21일,3,여,A조,10반 vs 4반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 21일,3,여,B조,8반 vs 7반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 21일,2,여,A조,9반 vs 3반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 21일,2,여,B조,7반 vs 12반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 21일,2,여,C조,6반 vs 1반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 22일,1,남,A조,4반 vs 9반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 22일,1,남,B조,8반 vs 3반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 22일,1,남,C조,10반 vs 2반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 22일,3,남,A조,4반 vs 6반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 22일,3,남,B조,7반 vs 12반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 22일,2,남,A조,6반 vs 5반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 22일,2,남,B조,7반 vs 9반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 22일,2,남,C조,3반 vs 8반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 23일,1,여,A조,1반 vs 2반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 23일,1,여,B조,9반 vs 10반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 23일,1,여,C조,4반 vs 12반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 23일,3,여,A조,12반 vs 11반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 23일,3,여,B조,2반 vs 6반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 23일,2,여,A조,11반 vs 10반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 23일,2,여,B조,4반 vs 8반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 26일,1,남,A조,11반 vs 4반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 26일,1,남,B조,12반 vs 8반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 26일,1,남,C조,6반 vs 10반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 26일,3,남,A조,2반 vs 4반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 26일,3,남,B조,1반 vs 7반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 26일,2,남,A조,12반 vs 6반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 26일,2,남,B조,10반 vs 7반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 26일,2,남,C조,2반 vs 3반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 27일,1,여,A조,8반 vs 1반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 27일,1,여,B조,11반 vs 9반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 27일,1,여,C조,7반 vs 4반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 27일,3,여,A조,10반 vs 12반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 27일,3,여,B조,8반 vs 2반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 27일,2,여,A조,9반 vs 11반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 27일,2,여,B조,7반 vs 4반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 27일,2,여,C조,6반 vs 2반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 28일,1,남,A조,7반 vs 9반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 28일,1,남,B조,5반 vs 3반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 28일,1,남,C조,1반 vs 2반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 28일,3,남,A조,3반 vs 6반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 28일,3,남,B조,5반 vs 12반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 28일,2,남,A조,1반 vs 5반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 28일,2,남,B조,11반 vs 9반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 28일,2,남,C조,4반 vs 8반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 29일,1,여,A조,5반 vs 2반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 29일,1,여,B조,6반 vs 10반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 29일,1,여,C조,3반 vs 12반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 29일,3,여,A조,4반 vs 11반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 29일,3,여,B조,7반 vs 6반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 29일,2,여,A조,3반 vs 10반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 29일,2,여,B조,12반 vs 8반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 30일,1,남,A조,11반 vs 9반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 30일,1,남,B조,12반 vs 3반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 30일,1,남,C조,6반 vs 2반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 30일,3,남,A조,2반 vs 6반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 30일,3,남,B조,1반 vs 12반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 30일,2,남,A조,12반 vs 5반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 30일,2,남,B조,10반 vs 9반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5월 30일,2,남,C조,2반 vs 8반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 5일,1,여,A조,8반 vs 2반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 5일,1,여,B조,11반 vs 10반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 5일,1,여,C조,7반 vs 12반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 5일,3,여,A조,10반 vs 11반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 5일,3,여,B조,8반 vs 6반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 5일,2,여,A조,9반 vs 10반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 5일,2,여,B조,7반 vs 8반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 5일,2,여,C조,2반 vs 1반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 9일,1,남,A조,4반 vs 7반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 9일,1,남,B조,8반 vs 5반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 9일,1,남,C조,10반 vs 1반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 9일,3,남,A조,4반 vs 3반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 9일,3,남,B조,7반 vs 5반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 9일,2,남,A조,6반 vs 1반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 9일,2,남,B조,7반 vs 11반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 9일,2,남,C조,3반 vs 4반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 10일,1,여,A조,1반 vs 5반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 10일,1,여,B조,9반 vs 6반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 10일,1,여,C조,4반 vs 3반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 10일,3,여,A조,12반 vs 4반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 10일,3,여,B조,2반 vs 7반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 10일,2,여,A조,11반 vs 3반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6월 10일,2,여,B조,4반 vs 12반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,